task,trialCode,oracion,target,visual1,visual2,visual3,visual4,trialType
ReadSEM,RdSEM_T_10,EL CABALLO ES MÁS PEQUEÑO QUE EL ELEFANTE,102,101,102,103,NA,2
ReadSEM,RdSEM_T_11,EL SOLDADO ES MÁS ALTO QUE EL INDIO,113,111,112,113,NA,2
ReadSEM,RdSEM_T_12,EL NIÑO ESTÁ MÁS GORDO QUE LA NIÑA,123,121,122,123,NA,2
ReadSEM,RdSEM_T_13,LA PELOTA AZUL ESTÁ SOBRE LA CAJA ROJA,132,131,132,133,134,2
ReadSEM,RdSEM_T_14,LA PELOTA VERDE ESTÁ ENTRE LAS DOS CAJAS AZULES ,144,141,142,143,144,2
ReadSEM,RdSEM_T_15,LA PELOTA ROJA ESTÁ ADENTRO DE LA CAJA Y LA PELOTA AZUL ESTÁ AFUERA DE LA CAJA,154,151,152,153,154,2
ReadSEM,RdSEM_T_16,LA PELOTA ROJA ESTÁ ARRIBA DE LA MESA Y LA PELOTA VERDE ESTÁ ABAJO DE LA MESA,162,161,162,163,164,2
