ID,Clase,Escuela,Turno,Sesion,Fecha,Hora,Aplicador,Tablet,Versión App
,,,,,,,,,241017
ID,task,trialCode,target,visual1,visual2,visual3,visual4,corrResp,numSyll,numPhon,struct,syllPos,trialType,audio1,audio2,numPrac,taskPos,trialPos,targetPos,resp,acierto,RT,session
,lettersN,LN_E_01,A,A,Ñ,H,NA,A,NA,NA,NA,NA,0,A,NA,0,1,0,2,NA,NA,NA,
,lettersN,LN_T_05,G,G,Q,L,NA,G,NA,NA,NA,NA,2,G,NA,0,1,1,2,G,True,2.136478,
,lettersN,LN_T_04,F,F,P,S,NA,F,NA,NA,NA,NA,2,F,NA,0,1,2,0,F,True,1.923725,
,lettersN,LN_T_17,T,T,J,N,NA,T,NA,NA,NA,NA,2,T,NA,0,1,3,0,T,True,1.015232,
,lettersN,LN_T_16,S,S,Z,Y,NA,S,NA,NA,NA,NA,2,S,NA,0,1,4,1,S,True,1.019897,
,lettersN,LN_T_13,P,P,R,X,NA,P,NA,NA,NA,NA,2,P,NA,0,1,5,1,P,True,1.684151,
,lettersN,LN_T_12,Ñ,Ñ,M,B,NA,Ñ,NA,NA,NA,NA,2,Ñ,NA,0,1,6,0,Ñ,True,3.547264,
,lettersN,LN_T_09,L,L,J,R,NA,L,NA,NA,NA,NA,2,L,NA,0,1,7,1,L,True,1.183762,
,lettersN,LN_T_10,M,M,Z,T,NA,M,NA,NA,NA,NA,2,M,NA,0,1,8,2,M,True,1.507698,
,lettersN,LN_T_07,J,J,Y,C,NA,J,NA,NA,NA,NA,2,J,NA,0,1,9,1,J,True,1.276482,
,lettersN,LN_T_03,D,D,B,K,NA,D,NA,NA,NA,NA,2,D,NA,0,1,10,0,D,True,0.9765549,
,lettersN,LN_T_01,B,B,R,N,NA,B,NA,NA,NA,NA,2,B,NA,0,1,11,2,B,True,1.587776,
,lettersN,LN_T_11,N,N,K,D,NA,N,NA,NA,NA,NA,2,N,NA,0,1,12,1,N,True,0.9917603,
,lettersN,LN_T_06,H,H,L,P,NA,H,NA,NA,NA,NA,2,H,NA,0,1,13,0,H,True,1.13591,
,lettersN,LN_T_20,X,X,K,L,NA,X,NA,NA,NA,NA,2,X,NA,0,1,14,2,X,True,1.375389,
,lettersN,LN_T_15,R,R,P,C,NA,R,NA,NA,NA,NA,2,R,NA,0,1,15,1,R,True,1.063576,
,lettersN,LN_T_18,V,V,M,F,NA,V,NA,NA,NA,NA,2,V,NA,0,1,16,0,V,True,1.852142,
,lettersN,LN_T_21,Y,Y,V,D,NA,Y,NA,NA,NA,NA,2,Y,NA,0,1,17,0,Y,True,1.264328,
,lettersN,LN_T_14,Q,Q,B,S,NA,Q,NA,NA,NA,NA,2,Q,NA,0,1,18,2,Q,True,1.943512,
,lettersN,LN_T_08,K,K,X,S,NA,K,NA,NA,NA,NA,2,K,NA,0,1,19,1,K,True,1.019745,
,lettersN,LN_T_19,W,W,M,G,NA,W,NA,NA,NA,NA,2,W,NA,0,1,20,1,W,True,1.136276,
,lettersN,LN_T_02,C,C,Q,J,NA,C,NA,NA,NA,NA,2,C,NA,0,1,21,1,C,True,0.9409103,
,lettersN,LN_T_22,Z,Z,N,T,NA,Z,NA,NA,NA,NA,2,Z,NA,0,1,22,0,Z,True,1.103867,
,lettersS,LS_T_09,j,J,T,N,NA,J,NA,NA,NA,NA,2,j,NA,0,2,1,0,J,True,1.07386,
,lettersS,LS_T_01,a,A,E,J,NA,A,NA,NA,NA,NA,2,a,NA,0,2,2,1,A,True,1.032051,
,lettersS,LS_T_10,l,L,J,S,NA,L,NA,NA,NA,NA,2,l,NA,0,2,3,0,L,True,1.487831,
,lettersS,LS_T_15,p,P,F,E,NA,P,NA,NA,NA,NA,2,p,NA,0,2,4,2,P,True,1.19223,
,lettersS,LS_T_04,d,D,C,Z,NA,D,NA,NA,NA,NA,2,d,NA,0,2,5,0,D,True,1.015854,
,lettersS,LS_T_08,i,I,E,Q,NA,I,NA,NA,NA,NA,2,i,NA,0,2,6,2,I,True,1.072037,
,lettersS,LS_T_03,c,C,D,P,NA,C,NA,NA,NA,NA,2,c,NA,0,2,7,0,C,True,0.9732513,
,lettersS,LS_T_02,b,B,R,L,NA,B,NA,NA,NA,NA,2,b,NA,0,2,8,1,B,True,1.040352,
,lettersS,LS_T_05,e,E,A,D,NA,E,NA,NA,NA,NA,2,e,NA,0,2,9,2,E,True,1.019852,
,lettersS,LS_T_17,s,S,R,V,NA,S,NA,NA,NA,NA,2,s,NA,0,2,10,0,S,True,1.069725,
,lettersS,LS_T_13,ñ,Ñ,Z,T,NA,Ñ,NA,NA,NA,NA,2,ñ,NA,0,2,11,0,Ñ,True,6.463676,
,lettersS,LS_T_07,g,G,D,T,NA,G,NA,NA,NA,NA,2,g,NA,0,2,12,2,G,True,1.248581,
,lettersS,LS_T_19,u,U,O,B,NA,U,NA,NA,NA,NA,2,u,NA,0,2,13,2,U,True,1.523636,
,lettersS,LS_T_21,y,Y,V,B,NA,Y,NA,NA,NA,NA,2,y,NA,0,2,14,0,Y,True,1.100151,
,lettersS,LS_T_06,f,F,P,C,NA,F,NA,NA,NA,NA,2,f,NA,0,2,15,1,F,True,8.031715,
,lettersS,LS_T_11,m,M,W,L,NA,M,NA,NA,NA,NA,2,m,NA,0,2,16,2,M,True,1.548218,
,lettersS,LS_T_20,v,V,Y,J,NA,V,NA,NA,NA,NA,2,v,NA,0,2,17,0,V,True,1.119461,
,lettersS,LS_T_14,o,O,U,P,NA,O,NA,NA,NA,NA,2,o,NA,0,2,18,0,O,True,1.051285,
,lettersS,LS_T_18,t,T,F,C,NA,T,NA,NA,NA,NA,2,t,NA,0,2,19,2,T,True,1.069458,
,lettersS,LS_T_12,n,N,Z,Q,NA,N,NA,NA,NA,NA,2,n,NA,0,2,20,2,N,True,2.459465,
,lettersS,LS_T_22,z,Z,F,R,NA,Z,NA,NA,NA,NA,2,s,NA,0,2,21,0,Z,True,24.46573,
,lettersS,LS_T_16,r,R,K,S,NA,R,NA,NA,NA,NA,2,rr,NA,0,2,22,1,R,True,23.11536,
,lettersN,LN_E_01,A,A,Ñ,H,NA,A,NA,NA,NA,NA,0,A,NA,0,3,22,1,NA,NA,NA,
,lettersN,LN_T_17,T,T,J,N,NA,T,NA,NA,NA,NA,2,T,NA,0,3,1,2,T,True,5.827545,
,lettersN,LN_T_10,M,M,Z,T,NA,M,NA,NA,NA,NA,2,M,NA,0,3,2,1,M,True,4.637299,
,lettersN,LN_T_06,H,H,L,P,NA,H,NA,NA,NA,NA,2,H,NA,0,3,3,1,H,True,7.903839,
,lettersN,LN_T_14,Q,Q,B,S,NA,Q,NA,NA,NA,NA,2,Q,NA,0,3,4,2,Q,True,4.397003,
,lettersN,LN_T_11,N,N,K,D,NA,N,NA,NA,NA,NA,2,N,NA,0,3,5,1,N,True,1.317749,
,lettersN,LN_T_22,Z,Z,N,T,NA,Z,NA,NA,NA,NA,2,Z,NA,0,3,6,2,Z,True,4.000092,
,lettersN,LN_T_03,D,D,B,K,NA,D,NA,NA,NA,NA,2,D,NA,0,3,7,0,D,True,3.307312,
