ID,Clase,Escuela,Turno,Sesion,Fecha,Hora,Aplicador,Tablet,Versión App
000000,NA,000,NA,1,070316,132546,NA,NA,070116
ID,task,trialCode,trialType,trialPos,numPrac,taskPos,SOA,resp,RT,sesion
000000,visSS,NA,0,0,0,1,17,,,1
000000,visSS,NA,0,0,0,1,2,,,1
000000,visSS,NA,1,1,0,1,2,2,0.5780106,1
000000,visSS,NA,1,2,0,1,2,2,2.195126,1
000000,visSS,NA,1,3,0,1,17,1,4.024803,1
000000,visSS,NA,1,4,0,1,2,2,0.8749924,1
