ID,Clase,Escuela,Turno,Sesion,Fecha,Hora,Aplicador,Tablet,Versión App
000000,NA,000,NA,1,070316,133707,NA,NA,070116
ID,task,trialCode,trialType,trialPos,numPrac,taskPos,SOA,resp,RT,sesion
000000,visSS,NA,0,0,0,1,17,,,1
000000,visSS,NA,0,0,0,1,2,,,1
000000,visSS,NA,1,1,0,1,17,1,1.079163,1
000000,visSS,NA,1,2,0,1,2,2,0.5624237,1
000000,visSS,NA,1,3,0,1,17,1,0.8142929,1
000000,visSS,NA,1,4,0,1,2,2,0.4843292,1
000000,visSS,NA,2,1,0,1,14,1,3.863373,1
000000,visSS,NA,2,2,0,1,11,1,1.118179,1
000000,visSS,NA,2,3,0,1,8,1,0.8220215,1
000000,visSS,NA,2,4,0,1,5,1,0.6298294,1
000000,visSS,NA,2,5,0,1,2,1,7.506866,1
000000,visSS,NA,2,6,0,1,0,1,1.472961,1
000000,visSS,NA,2,7,0,1,0,1,1.297951,1
000000,visSS,NA,2,8,0,1,0,1,0.5155487,1
000000,visSS,NA,2,9,0,1,2,2,0.4436188,1
000000,visSS,NA,2,10,0,1,1,1,0.4999542,1
